Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
360000,1.1688173,0.2110118,25.139563,13.736867,0.10327586,0.00029467448,0.19822483,0.009822659,0.3510468,0.12589926,0.8928976,0.0,697.7857142857143,0.44821434201938765,0.44821434201938765,180.05547506468636,1.0
370000,1.0292249,0.17629182,27.89494,28.469818,0.106830694,0.00029452654,0.1981755,0.009817734,0.3337061,0.11816952,0.90060645,0.0,669.2857142857143,-0.08925710565277509,-0.08925710565277509,230.32656637047018,1.0
380000,0.9904521,0.17863478,29.162964,16.30349,0.10596964,0.00029437948,0.1981265,0.009812836,0.3327005,0.117488876,0.89632154,0.0,567.8421052631579,0.5815263257214898,0.5815263257214898,170.21246897546868,1.0
390000,1.1604471,0.1306617,24.942738,9.741353,0.10704843,0.00029422645,0.1980755,0.009807739,0.29090077,0.10263483,0.91247594,0.0,499.0,0.6641473545153674,0.6641473545153674,122.31369471549988,1.0
400000,1.0254755,0.19945705,26.440731,14.734041,0.10082941,0.00029407098,0.19802366,0.009802563,0.29778734,0.10502972,0.9093368,0.0,780.25,-0.43671659256021184,-0.43671659256021184,188.8177039126555,1.0
410000,1.0723958,0.14127026,26.087505,15.167875,0.096289344,0.0002939207,0.19797355,0.009797559,0.23657781,0.0845241,0.9309226,0.0,711.7142857142857,-0.28321423860532896,-0.28321423860532896,146.7711596616677,1.0
420000,1.1948339,0.11166261,23.690508,9.959572,0.102717154,0.00029377305,0.19792435,0.009792643,0.25604728,0.09558949,0.9253491,0.0,675.2666666666667,-0.010693300717199842,-0.010693300717199842,145.45894026756287,1.0
430000,1.0666006,0.0741,23.81588,7.121293,0.103792146,0.00029362657,0.1978755,0.009787763,0.23899968,0.08558953,0.92796856,0.0,747.6428571428571,-0.18335709774068423,-0.18335709774068423,156.2868018405778,1.0
440000,1.142714,-0.004609009,20.96398,6.3174458,0.10869059,0.0002934804,0.1978268,0.009782898,0.21415275,0.08024835,0.9389112,0.0,741.3076923076923,-0.428599969125711,-0.428599969125711,115.85731016672574,1.0
450000,1.2252432,-0.054144163,18.93865,5.473332,0.10393958,0.00029332473,0.19777492,0.009777714,0.19715805,0.072312534,0.942212,0.0,810.9166666666666,-0.8071499578654766,-0.8071499578654766,118.35549294669181,1.0
460000,1.2212903,-0.11741736,17.185965,5.4694576,0.098323025,0.0002931697,0.19772321,0.009772549,0.19001357,0.07023222,0.94602096,0.0,751.3571428571429,-0.47345709840634037,-0.47345709840634037,110.89174100330898,1.0
470000,1.0329105,-0.056066018,20.807966,9.244778,0.104638346,0.00029302356,0.19767453,0.009767684,0.20247738,0.07209193,0.94151443,0.0,774.1538461538462,-0.46819999570456833,-0.46819999570456833,143.87568945151108,1.0
480000,1.1289129,-0.010494194,18.675343,7.2349606,0.104706764,0.00029287674,0.19762558,0.009762794,0.2051487,0.07555705,0.9419892,0.0,644.9333333333333,0.2924533559009433,0.2924533559009433,110.76257136662801,1.0
490000,1.2153603,-0.013657561,15.53241,6.127209,0.10666394,0.00029273008,0.19757669,0.009757911,0.17760195,0.06591046,0.9492603,0.0,678.5,0.06047505549940979,0.06047505549940979,100.36683543955405,1.0
500000,1.2042128,0.033739273,13.876519,3.2340107,0.10342951,0.00029258325,0.19752777,0.0097530205,0.17521127,0.06419059,0.9502021,0.0,688.2857142857143,0.030900027070726668,0.030900027070726668,92.69220221042633,1.0
510000,1.2339526,0.08767888,13.210621,8.211992,0.10396272,0.000292428,0.197476,0.009747853,0.18441036,0.0666026,0.9463916,0.0,667.625,0.14506670000652472,0.14506670000652472,93.35533023675283,1.0
520000,1.1647875,0.2062411,13.353802,4.806243,0.0988048,0.00029227318,0.19742438,0.009742697,0.17941941,0.066241466,0.9481179,0.0,671.3846153846154,0.037442935813617496,0.037442935813617496,101.73995101026127,1.0
530000,1.1643453,0.12743844,14.409165,6.2248163,0.10879427,0.00029212466,0.19737488,0.0097377505,0.1779409,0.06740916,0.9496497,0.0,636.625,0.11067504342645407,0.11067504342645407,83.92769253998995,1.0
540000,1.1535366,0.07881576,13.350515,3.5950558,0.11075744,0.0002919764,0.19732547,0.009732813,0.15722491,0.06074192,0.95780766,0.0,658.4666666666667,0.1427866977484276,0.1427866977484276,85.29855152269205,1.0
550000,1.1793858,-0.05269175,11.592178,3.8241467,0.10361921,0.0002918293,0.19727643,0.009727914,0.13430645,0.051277634,0.9640973,0.0,765.6923076923077,-0.45786150716818297,-0.45786150716818297,82.8091812133789,1.0
560000,1.1545054,0.07312921,10.769633,2.3113627,0.10204263,0.0002916754,0.19722512,0.00972279,0.14241283,0.054131817,0.96100414,0.0,617.0555555555555,0.3331882718621808,0.3331882718621808,61.039092626641775,1.0
570000,1.1167774,0.1487432,10.24516,1.4814421,0.106050536,0.00029152134,0.19717377,0.00971766,0.14248794,0.05265731,0.96055615,0.0,636.9333333333333,0.16882670409977435,0.16882670409977435,64.69455438802639,1.0
580000,1.1569241,0.038428012,9.24476,1.6968195,0.10910776,0.00029137486,0.19712494,0.009712782,0.14419721,0.056047942,0.96147704,0.0,601.6111111111111,0.12678890826646239,0.12678890826646239,62.547311437212755,1.0
590000,1.1381495,0.045454964,8.898621,2.7986743,0.107353315,0.0002912255,0.19707516,0.009707808,0.1341578,0.047542468,0.9649146,0.0,612.6428571428571,0.36145337846440573,0.36145337846440573,61.8573747197787,1.0
600000,1.1925266,-0.003451418,8.194295,1.6542673,0.10445518,0.00029107672,0.19702555,0.009702853,0.122965366,0.045344915,0.96746105,0.0,726.1333333333333,-0.20511995057264965,-0.20511995057264965,62.510369062423706,1.0
610000,1.2756172,-0.083036244,6.912914,0.59237534,0.103368685,0.000290923,0.19697434,0.009697734,0.09745759,0.038602866,0.97564304,0.0,832.3333333333334,-0.9993666193137566,-0.9993666193137566,42.73754721879959,1.0
620000,1.2554563,-0.055560928,6.5788503,2.8362722,0.10905269,0.00029077014,0.19692336,0.009692644,0.10316232,0.038558025,0.97240555,0.0,766.5384615384615,-0.6125999574477856,-0.6125999574477856,60.11634562107233,1.0
